# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    3     81     34      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     82     34      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     81     34      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     82     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     81     34      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     34      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     34      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     81     34      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     34      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     34      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     34      -      0      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     34      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     81     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     81     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     81     35      -      0      0      0      0      0      0   9001   2520  42007  42012      0
    3     82     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     82     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     82     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     35      -      2      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     35      -      2      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
    3     80     35      -      2      0      0      0      0      0   9001   2520  42007  42012      0
    3     81     35      -      2      0      0      0      0      0   9001   2520  42007  42012      0
    3     81     35      -      1      0      0      0      0      0   9001   2520  42007  42012      0
